stimulus,spectral_centroid_hz,elevation,draw_index
stim108_telephone_dialing.wav,4772.730404789149,30.0,5
stim108_telephone_dialing.wav,4772.730404789149,30.0,6
stim108_telephone_dialing.wav,4772.730404789149,20.0,7
stim108_telephone_dialing.wav,4772.730404789149,17.0,8
stim108_telephone_dialing.wav,4772.730404789149,26.0,9
stim108_telephone_dialing.wav,4772.730404789149,13.0,10
stim114_dishes_clanking.wav,3876.3799144670193,10.0,1
stim114_dishes_clanking.wav,3876.3799144670193,1.0,2
stim114_dishes_clanking.wav,3876.3799144670193,24.0,3
stim114_dishes_clanking.wav,3876.3799144670193,21.0,4
stim114_dishes_clanking.wav,3876.3799144670193,22.0,5
stim114_dishes_clanking.wav,3876.3799144670193,24.0,6
stim114_dishes_clanking.wav,3876.3799144670193,17.0,7
stim114_dishes_clanking.wav,3876.3799144670193,19.0,8
stim114_dishes_clanking.wav,3876.3799144670193,9.0,9
stim114_dishes_clanking.wav,3876.3799144670193,8.0,10
stim116_dog_barking.wav,2727.189269979333,16.0,1
stim116_dog_barking.wav,2727.189269979333,11.0,2
stim116_dog_barking.wav,2727.189269979333,13.0,3
stim116_dog_barking.wav,2727.189269979333,18.0,4
stim116_dog_barking.wav,2727.189269979333,15.0,5
stim116_dog_barking.wav,2727.189269979333,13.0,6
stim116_dog_barking.wav,2727.189269979333,13.0,7
stim116_dog_barking.wav,2727.189269979333,8.0,8
stim116_dog_barking.wav,2727.189269979333,1.0,9
stim116_dog_barking.wav,2727.189269979333,11.0,10
stim117_dog_drinking.wav,3583.3712500081037,10.0,1
stim117_dog_drinking.wav,3583.3712500081037,14.0,2
stim117_dog_drinking.wav,3583.3712500081037,25.0,3
stim117_dog_drinking.wav,3583.3712500081037,10.0,4
stim117_dog_drinking.wav,3583.3712500081037,4.0,5
stim117_dog_drinking.wav,3583.3712500081037,11.0,6
stim117_dog_drinking.wav,3583.3712500081037,12.0,7
stim117_dog_drinking.wav,3583.3712500081037,20.0,8
stim117_dog_drinking.wav,3583.3712500081037,17.0,9
stim117_dog_drinking.wav,3583.3712500081037,23.0,10
stim118_puppy_whining.wav,3193.48182674276,18.0,1
stim118_puppy_whining.wav,3193.48182674276,12.0,2
stim118_puppy_whining.wav,3193.48182674276,22.0,3
stim118_puppy_whining.wav,3193.48182674276,7.0,4
stim118_puppy_whining.wav,3193.48182674276,1.0,5
stim118_puppy_whining.wav,3193.48182674276,4.0,6
stim118_puppy_whining.wav,3193.48182674276,19.0,7
stim118_puppy_whining.wav,3193.48182674276,13.0,8
stim118_puppy_whining.wav,3193.48182674276,6.0,9
stim118_puppy_whining.wav,3193.48182674276,14.0,10
stim11_baby_crying.wav,2856.7906533433647,5.0,1
stim11_baby_crying.wav,2856.7906533433647,17.0,2
stim11_baby_crying.wav,2856.7906533433647,12.0,3
stim11_baby_crying.wav,2856.7906533433647,10.0,4
stim11_baby_crying.wav,2856.7906533433647,9.0,5
stim11_baby_crying.wav,2856.7906533433647,15.0,6
stim11_baby_crying.wav,2856.7906533433647,10.0,7
stim11_baby_crying.wav,2856.7906533433647,3.0,8
stim11_baby_crying.wav,2856.7906533433647,4.0,9
stim11_baby_crying.wav,2856.7906533433647,27.0,10
stim124_doorbell.wav,1827.0961925120257,19.0,1
stim124_doorbell.wav,1827.0961925120257,12.0,2
stim124_doorbell.wav,1827.0961925120257,5.0,3
stim124_doorbell.wav,1827.0961925120257,23.0,4
stim124_doorbell.wav,1827.0961925120257,14.0,5
stim124_doorbell.wav,1827.0961925120257,13.0,6
stim124_doorbell.wav,1827.0961925120257,8.0,7
stim124_doorbell.wav,1827.0961925120257,5.0,8
stim124_doorbell.wav,1827.0961925120257,2.0,9
stim124_doorbell.wav,1827.0961925120257,19.0,10
stim12_background_speech.wav,1654.1521701738266,7.0,1
stim12_background_speech.wav,1654.1521701738266,3.0,2
stim12_background_speech.wav,1654.1521701738266,5.0,3
stim12_background_speech.wav,1654.1521701738266,9.0,4
stim12_background_speech.wav,1654.1521701738266,3.0,5
stim12_background_speech.wav,1654.1521701738266,16.0,6
stim12_background_speech.wav,1654.1521701738266,13.0,7
stim12_background_speech.wav,1654.1521701738266,12.0,8
stim12_background_speech.wav,1654.1521701738266,7.0,9
stim12_background_speech.wav,1654.1521701738266,10.0,10
stim132_water_dripping.wav,6873.960682027713,35.0,1
stim132_water_dripping.wav,6873.960682027713,37.0,2
stim132_water_dripping.wav,6873.960682027713,22.0,3
stim132_water_dripping.wav,6873.960682027713,32.0,4
stim132_water_dripping.wav,6873.960682027713,18.0,5
stim132_water_dripping.wav,6873.960682027713,33.0,6
stim132_water_dripping.wav,6873.960682027713,30.0,7
stim132_water_dripping.wav,6873.960682027713,24.0,8
stim132_water_dripping.wav,6873.960682027713,23.0,9
stim132_water_dripping.wav,6873.960682027713,35.0,10
stim136_drum_roll.wav,3320.0674567545752,7.0,1
stim136_drum_roll.wav,3320.0674567545752,27.0,2
stim136_drum_roll.wav,3320.0674567545752,16.0,3
stim136_drum_roll.wav,3320.0674567545752,12.0,4
stim136_drum_roll.wav,3320.0674567545752,17.0,5
stim136_drum_roll.wav,3320.0674567545752,1.0,6
stim136_drum_roll.wav,3320.0674567545752,29.0,7
stim136_drum_roll.wav,3320.0674567545752,14.0,8
stim136_drum_roll.wav,3320.0674567545752,21.0,9
stim136_drum_roll.wav,3320.0674567545752,4.0,10
stim137_drum_solo.wav,2969.5749976829525,13.0,1
stim137_drum_solo.wav,2969.5749976829525,13.0,2
stim137_drum_solo.wav,2969.5749976829525,26.0,3
stim137_drum_solo.wav,2969.5749976829525,15.0,4
stim137_drum_solo.wav,2969.5749976829525,13.0,5
stim137_drum_solo.wav,2969.5749976829525,8.0,6
stim137_drum_solo.wav,2969.5749976829525,10.0,7
stim137_drum_solo.wav,2969.5749976829525,14.0,8
stim137_drum_solo.wav,2969.5749976829525,12.0,9
stim137_drum_solo.wav,2969.5749976829525,1.0,10
stim138_duck_quack.wav,2284.2342082037017,18.0,1
stim138_duck_quack.wav,2284.2342082037017,20.0,2
stim138_duck_quack.wav,2284.2342082037017,3.0,3
stim138_duck_quack.wav,2284.2342082037017,11.0,4
stim138_duck_quack.wav,2284.2342082037017,2.0,5
stim138_duck_quack.wav,2284.2342082037017,14.0,6
stim138_duck_quack.wav,2284.2342082037017,6.0,7
stim138_duck_quack.wav,2284.2342082037017,13.0,8
stim138_duck_quack.wav,2284.2342082037017,15.0,9
stim138_duck_quack.wav,2284.2342082037017,16.0,10
stim140_electric_hand_drill.wav,5903.2784059685855,18.0,1
stim140_electric_hand_drill.wav,5903.2784059685855,40.0,2
stim140_electric_hand_drill.wav,5903.2784059685855,22.0,3
stim140_electric_hand_drill.wav,5903.2784059685855,13.0,4
stim140_electric_hand_drill.wav,5903.2784059685855,29.0,5
stim140_electric_hand_drill.wav,5903.2784059685855,25.0,6
stim140_electric_hand_drill.wav,5903.2784059685855,36.0,7
stim140_electric_hand_drill.wav,5903.2784059685855,36.0,8
stim140_electric_hand_drill.wav,5903.2784059685855,24.0,9
stim140_electric_hand_drill.wav,5903.2784059685855,43.0,10
stim150_finger_tapping.wav,2505.454167303432,7.0,1
stim150_finger_tapping.wav,2505.454167303432,11.0,2
stim150_finger_tapping.wav,2505.454167303432,6.0,3
stim150_finger_tapping.wav,2505.454167303432,24.0,4
stim150_finger_tapping.wav,2505.454167303432,4.0,5
stim150_finger_tapping.wav,2505.454167303432,1.0,6
stim150_finger_tapping.wav,2505.454167303432,10.0,7
stim150_finger_tapping.wav,2505.454167303432,31.0,8
stim150_finger_tapping.wav,2505.454167303432,21.0,9
stim150_finger_tapping.wav,2505.454167303432,16.0,10
stim155_flag_flapping.wav,1602.4735776742125,17.0,1
stim155_flag_flapping.wav,1602.4735776742125,17.0,2
stim155_flag_flapping.wav,1602.4735776742125,8.0,3
stim155_flag_flapping.wav,1602.4735776742125,5.0,4
stim155_flag_flapping.wav,1602.4735776742125,13.0,5
stim155_flag_flapping.wav,1602.4735776742125,11.0,6
stim155_flag_flapping.wav,1602.4735776742125,6.0,7
stim155_flag_flapping.wav,1602.4735776742125,1.0,8
stim155_flag_flapping.wav,1602.4735776742125,13.0,9
stim155_flag_flapping.wav,1602.4735776742125,4.0,10
stim156_wings_flapping.wav,4885.829523678857,36.0,1
stim156_wings_flapping.wav,4885.829523678857,17.0,2
stim156_wings_flapping.wav,4885.829523678857,13.0,3
stim156_wings_flapping.wav,4885.829523678857,31.0,4
stim156_wings_flapping.wav,4885.829523678857,14.0,5
stim156_wings_flapping.wav,4885.829523678857,15.0,6
stim156_wings_flapping.wav,4885.829523678857,25.0,7
stim156_wings_flapping.wav,4885.829523678857,33.0,8
stim156_wings_flapping.wav,4885.829523678857,15.0,9
stim156_wings_flapping.wav,4885.829523678857,19.0,10
stim158_flushing.wav,3022.741251710272,20.0,1
stim158_flushing.wav,3022.741251710272,29.0,2
stim158_flushing.wav,3022.741251710272,13.0,3
stim158_flushing.wav,3022.741251710272,5.0,4
stim158_flushing.wav,3022.741251710272,0.0,5
stim158_flushing.wav,3022.741251710272,8.0,6
stim158_flushing.wav,3022.741251710272,5.0,7
stim158_flushing.wav,3022.741251710272,17.0,8
stim158_flushing.wav,3022.741251710272,5.0,9
stim158_flushing.wav,3022.741251710272,13.0,10
stim162_frog_croaking.wav,2291.8856238016733,14.0,1
stim162_frog_croaking.wav,2291.8856238016733,12.0,2
stim162_frog_croaking.wav,2291.8856238016733,5.0,3
stim162_frog_croaking.wav,2291.8856238016733,17.0,4
stim162_frog_croaking.wav,2291.8856238016733,15.0,5
stim162_frog_croaking.wav,2291.8856238016733,15.0,6
stim162_frog_croaking.wav,2291.8856238016733,3.0,7
stim162_frog_croaking.wav,2291.8856238016733,3.0,8
stim162_frog_croaking.wav,2291.8856238016733,22.0,9
stim162_frog_croaking.wav,2291.8856238016733,8.0,10
stim163_frying.wav,7892.613296931208,34.0,1
stim163_frying.wav,7892.613296931208,39.0,2
stim163_frying.wav,7892.613296931208,43.0,3
stim163_frying.wav,7892.613296931208,53.0,4
stim163_frying.wav,7892.613296931208,34.0,5
stim163_frying.wav,7892.613296931208,51.0,6
stim163_frying.wav,7892.613296931208,22.0,7
stim163_frying.wav,7892.613296931208,40.0,8
stim163_frying.wav,7892.613296931208,42.0,9
stim163_frying.wav,7892.613296931208,28.0,10
stim167_gargling.wav,1424.421234931472,2.0,1
stim167_gargling.wav,1424.421234931472,6.0,2
stim167_gargling.wav,1424.421234931472,21.0,3
stim167_gargling.wav,1424.421234931472,9.0,4
stim167_gargling.wav,1424.421234931472,19.0,5
stim167_gargling.wav,1424.421234931472,13.0,6
stim167_gargling.wav,1424.421234931472,7.0,7
stim167_gargling.wav,1424.421234931472,13.0,8
stim167_gargling.wav,1424.421234931472,0.0,9
stim167_gargling.wav,1424.421234931472,1.0,10
stim172_geese.wav,2820.693015034033,20.0,1
stim172_geese.wav,2820.693015034033,19.0,2
stim172_geese.wav,2820.693015034033,7.0,3
stim172_geese.wav,2820.693015034033,13.0,4
stim172_geese.wav,2820.693015034033,15.0,5
stim172_geese.wav,2820.693015034033,22.0,6
stim172_geese.wav,2820.693015034033,15.0,7
stim172_geese.wav,2820.693015034033,11.0,8
stim172_geese.wav,2820.693015034033,10.0,9
stim172_geese.wav,2820.693015034033,11.0,10
stim174_girl_speaking.wav,2387.713665847916,14.0,1
stim174_girl_speaking.wav,2387.713665847916,20.0,2
stim174_girl_speaking.wav,2387.713665847916,10.0,3
stim174_girl_speaking.wav,2387.713665847916,6.0,4
stim174_girl_speaking.wav,2387.713665847916,6.0,5
stim174_girl_speaking.wav,2387.713665847916,16.0,6
stim174_girl_speaking.wav,2387.713665847916,18.0,7
stim174_girl_speaking.wav,2387.713665847916,3.0,8
stim174_girl_speaking.wav,2387.713665847916,2.0,9
stim174_girl_speaking.wav,2387.713665847916,12.0,10
stim182_grunting_and_groaning.wav,1978.8087558896175,3.0,1
stim182_grunting_and_groaning.wav,1978.8087558896175,16.0,2
stim182_grunting_and_groaning.wav,1978.8087558896175,6.0,3
stim182_grunting_and_groaning.wav,1978.8087558896175,3.0,4
stim182_grunting_and_groaning.wav,1978.8087558896175,20.0,5
stim182_grunting_and_groaning.wav,1978.8087558896175,3.0,6
stim182_grunting_and_groaning.wav,1978.8087558896175,5.0,7
stim182_grunting_and_groaning.wav,1978.8087558896175,3.0,8
stim182_grunting_and_groaning.wav,1978.8087558896175,2.0,9
stim182_grunting_and_groaning.wav,1978.8087558896175,0.0,10
stim183_guitar.wav,2050.5820567589635,1.0,1
stim183_guitar.wav,2050.5820567589635,3.0,2
stim183_guitar.wav,2050.5820567589635,1.0,3
stim183_guitar.wav,2050.5820567589635,11.0,4
stim183_guitar.wav,2050.5820567589635,13.0,5
stim183_guitar.wav,2050.5820567589635,7.0,6
stim183_guitar.wav,2050.5820567589635,6.0,7
stim183_guitar.wav,2050.5820567589635,9.0,8
stim183_guitar.wav,2050.5820567589635,18.0,9
stim183_guitar.wav,2050.5820567589635,17.0,10
stim185_hair_dryer.wav,3173.1198832979485,2.0,1
stim185_hair_dryer.wav,3173.1198832979485,7.0,2
stim185_hair_dryer.wav,3173.1198832979485,8.0,3
stim185_hair_dryer.wav,3173.1198832979485,9.0,4
stim185_hair_dryer.wav,3173.1198832979485,16.0,5
stim185_hair_dryer.wav,3173.1198832979485,12.0,6
stim185_hair_dryer.wav,3173.1198832979485,2.0,7
stim185_hair_dryer.wav,3173.1198832979485,11.0,8
stim185_hair_dryer.wav,3173.1198832979485,15.0,9
stim185_hair_dryer.wav,3173.1198832979485,4.0,10
stim186_hammering.wav,2399.8508785819577,18.0,1
stim186_hammering.wav,2399.8508785819577,1.0,2
stim186_hammering.wav,2399.8508785819577,22.0,3
stim186_hammering.wav,2399.8508785819577,2.0,4
stim186_hammering.wav,2399.8508785819577,19.0,5
stim186_hammering.wav,2399.8508785819577,21.0,6
stim186_hammering.wav,2399.8508785819577,27.0,7
stim186_hammering.wav,2399.8508785819577,17.0,8
stim186_hammering.wav,2399.8508785819577,17.0,9
stim186_hammering.wav,2399.8508785819577,14.0,10
stim18_basketball_dribbling.wav,2193.4083457997017,16.0,1
stim18_basketball_dribbling.wav,2193.4083457997017,3.0,2
stim18_basketball_dribbling.wav,2193.4083457997017,11.0,3
stim18_basketball_dribbling.wav,2193.4083457997017,10.0,4
stim18_basketball_dribbling.wav,2193.4083457997017,18.0,5
stim18_basketball_dribbling.wav,2193.4083457997017,9.0,6
stim18_basketball_dribbling.wav,2193.4083457997017,8.0,7
stim18_basketball_dribbling.wav,2193.4083457997017,13.0,8
stim18_basketball_dribbling.wav,2193.4083457997017,6.0,9
stim18_basketball_dribbling.wav,2193.4083457997017,3.0,10
stim193_heavy_metal_music.wav,4631.602074056106,21.0,1
stim193_heavy_metal_music.wav,4631.602074056106,20.0,2
stim193_heavy_metal_music.wav,4631.602074056106,15.0,3
stim193_heavy_metal_music.wav,4631.602074056106,19.0,4
stim193_heavy_metal_music.wav,4631.602074056106,18.0,5
stim193_heavy_metal_music.wav,4631.602074056106,18.0,6
stim193_heavy_metal_music.wav,4631.602074056106,19.0,7
stim193_heavy_metal_music.wav,4631.602074056106,26.0,8
stim193_heavy_metal_music.wav,4631.602074056106,17.0,9
stim193_heavy_metal_music.wav,4631.602074056106,35.0,10
stim194_helicopter.wav,1033.3269970790825,16.0,1
stim194_helicopter.wav,1033.3269970790825,6.0,2
stim194_helicopter.wav,1033.3269970790825,4.0,3
stim194_helicopter.wav,1033.3269970790825,7.0,4
stim194_helicopter.wav,1033.3269970790825,13.0,5
stim194_helicopter.wav,1033.3269970790825,9.0,6
stim194_helicopter.wav,1033.3269970790825,12.0,7
stim194_helicopter.wav,1033.3269970790825,7.0,8
stim194_helicopter.wav,1033.3269970790825,8.0,9
stim194_helicopter.wav,1033.3269970790825,3.0,10
stim197_road_traffic.wav,1958.1900246054236,14.0,1
stim197_road_traffic.wav,1958.1900246054236,4.0,2
stim197_road_traffic.wav,1958.1900246054236,13.0,3
stim197_road_traffic.wav,1958.1900246054236,17.0,4
stim197_road_traffic.wav,1958.1900246054236,2.0,5
stim197_road_traffic.wav,1958.1900246054236,11.0,6
stim197_road_traffic.wav,1958.1900246054236,2.0,7
stim197_road_traffic.wav,1958.1900246054236,14.0,8
stim197_road_traffic.wav,1958.1900246054236,1.0,9
stim197_road_traffic.wav,1958.1900246054236,21.0,10
stim19_electric_bass.wav,1087.323386699506,1.0,1
stim19_electric_bass.wav,1087.323386699506,19.0,2
stim19_electric_bass.wav,1087.323386699506,12.0,3
stim19_electric_bass.wav,1087.323386699506,8.0,4
stim19_electric_bass.wav,1087.323386699506,12.0,5
stim19_electric_bass.wav,1087.323386699506,12.0,6
stim19_electric_bass.wav,1087.323386699506,18.0,7
stim19_electric_bass.wav,1087.323386699506,3.0,8
stim19_electric_bass.wav,1087.323386699506,8.0,9
stim19_electric_bass.wav,1087.323386699506,1.0,10
stim200_humming.wav,956.0640920999952,8.0,1
stim200_humming.wav,956.0640920999952,2.0,2
stim200_humming.wav,956.0640920999952,7.0,3
stim200_humming.wav,956.0640920999952,7.0,4
stim200_humming.wav,956.0640920999952,6.0,5
stim200_humming.wav,956.0640920999952,6.0,6
stim200_humming.wav,956.0640920999952,11.0,7
stim200_humming.wav,956.0640920999952,12.0,8
stim200_humming.wav,956.0640920999952,6.0,9
stim200_humming.wav,956.0640920999952,8.0,10
stim209_kettle_whistling.wav,3717.1219001523937,29.0,1
stim209_kettle_whistling.wav,3717.1219001523937,7.0,2
stim209_kettle_whistling.wav,3717.1219001523937,7.0,3
stim209_kettle_whistling.wav,3717.1219001523937,6.0,4
stim209_kettle_whistling.wav,3717.1219001523937,20.0,5
stim209_kettle_whistling.wav,3717.1219001523937,15.0,6
stim209_kettle_whistling.wav,3717.1219001523937,23.0,7
stim209_kettle_whistling.wav,3717.1219001523937,20.0,8
stim209_kettle_whistling.wav,3717.1219001523937,13.0,9
stim209_kettle_whistling.wav,3717.1219001523937,28.0,10
stim211_keys_jingling.wav,7806.487868771409,45.0,1
stim211_keys_jingling.wav,7806.487868771409,33.0,2
stim211_keys_jingling.wav,7806.487868771409,35.0,3
stim211_keys_jingling.wav,7806.487868771409,34.0,4
stim211_keys_jingling.wav,7806.487868771409,30.0,5
stim211_keys_jingling.wav,7806.487868771409,29.0,6
stim211_keys_jingling.wav,7806.487868771409,51.0,7
stim211_keys_jingling.wav,7806.487868771409,37.0,8
stim211_keys_jingling.wav,7806.487868771409,36.0,9
stim211_keys_jingling.wav,7806.487868771409,44.0,10
stim215_door_knocking.wav,807.8308588934415,7.0,1
stim215_door_knocking.wav,807.8308588934415,16.0,2
stim215_door_knocking.wav,807.8308588934415,11.0,3
stim215_door_knocking.wav,807.8308588934415,5.0,4
stim215_door_knocking.wav,807.8308588934415,4.0,5
stim215_door_knocking.wav,807.8308588934415,22.0,6
stim215_door_knocking.wav,807.8308588934415,9.0,7
stim215_door_knocking.wav,807.8308588934415,17.0,8
stim215_door_knocking.wav,807.8308588934415,1.0,9
stim215_door_knocking.wav,807.8308588934415,13.0,10
stim221_laughing.wav,2156.949266279632,12.0,1
stim221_laughing.wav,2156.949266279632,3.0,2
stim221_laughing.wav,2156.949266279632,11.0,3
stim221_laughing.wav,2156.949266279632,13.0,4
stim221_laughing.wav,2156.949266279632,0.0,5
stim221_laughing.wav,2156.949266279632,9.0,6
stim221_laughing.wav,2156.949266279632,17.0,7
stim221_laughing.wav,2156.949266279632,6.0,8
stim221_laughing.wav,2156.949266279632,9.0,9
stim221_laughing.wav,2156.949266279632,9.0,10
stim224_walking_on_leaves.wav,4239.908472340896,15.0,1
stim224_walking_on_leaves.wav,4239.908472340896,31.0,2
stim224_walking_on_leaves.wav,4239.908472340896,26.0,3
stim224_walking_on_leaves.wav,4239.908472340896,9.0,4
stim224_walking_on_leaves.wav,4239.908472340896,43.0,5
stim224_walking_on_leaves.wav,4239.908472340896,29.0,6
stim224_walking_on_leaves.wav,4239.908472340896,14.0,7
stim224_walking_on_leaves.wav,4239.908472340896,28.0,8
stim224_walking_on_leaves.wav,4239.908472340896,9.0,9
stim224_walking_on_leaves.wav,4239.908472340896,46.0,10
stim232_man_speaking.wav,2957.815269809581,17.0,1
stim232_man_speaking.wav,2957.815269809581,16.0,2
stim232_man_speaking.wav,2957.815269809581,3.0,3
stim232_man_speaking.wav,2957.815269809581,24.0,4
stim232_man_speaking.wav,2957.815269809581,1.0,5
stim232_man_speaking.wav,2957.815269809581,8.0,6
stim232_man_speaking.wav,2957.815269809581,5.0,7
stim232_man_speaking.wav,2957.815269809581,19.0,8
stim232_man_speaking.wav,2957.815269809581,7.0,9
stim232_man_speaking.wav,2957.815269809581,24.0,10
stim236_microwave_running.wav,1605.7261901722331,11.0,1
stim236_microwave_running.wav,1605.7261901722331,0.0,2
stim236_microwave_running.wav,1605.7261901722331,0.0,3
stim236_microwave_running.wav,1605.7261901722331,0.0,4
stim236_microwave_running.wav,1605.7261901722331,10.0,5
stim236_microwave_running.wav,1605.7261901722331,14.0,6
stim236_microwave_running.wav,1605.7261901722331,4.0,7
stim236_microwave_running.wav,1605.7261901722331,16.0,8
stim236_microwave_running.wav,1605.7261901722331,1.0,9
stim236_microwave_running.wav,1605.7261901722331,14.0,10
stim238_baby_talk.wav,2392.7424959888963,22.0,1
stim238_baby_talk.wav,2392.7424959888963,17.0,2
stim238_baby_talk.wav,2392.7424959888963,15.0,3
stim238_baby_talk.wav,2392.7424959888963,19.0,4
stim238_baby_talk.wav,2392.7424959888963,1.0,5
stim238_baby_talk.wav,2392.7424959888963,5.0,6
stim238_baby_talk.wav,2392.7424959888963,3.0,7
stim238_baby_talk.wav,2392.7424959888963,11.0,8
stim238_baby_talk.wav,2392.7424959888963,16.0,9
stim238_baby_talk.wav,2392.7424959888963,13.0,10
stim23_bees_buzzing.wav,2982.459148611885,22.0,1
stim23_bees_buzzing.wav,2982.459148611885,6.0,2
stim23_bees_buzzing.wav,2982.459148611885,18.0,3
stim23_bees_buzzing.wav,2982.459148611885,7.0,4
stim23_bees_buzzing.wav,2982.459148611885,8.0,5
stim23_bees_buzzing.wav,2982.459148611885,18.0,6
stim23_bees_buzzing.wav,2982.459148611885,30.0,7
stim23_bees_buzzing.wav,2982.459148611885,15.0,8
stim23_bees_buzzing.wav,2982.459148611885,2.0,9
stim23_bees_buzzing.wav,2982.459148611885,16.0,10
stim240_motorcycle_reving.wav,831.9685715749864,0.0,1
stim240_motorcycle_reving.wav,831.9685715749864,14.0,2
stim240_motorcycle_reving.wav,831.9685715749864,9.0,3
stim240_motorcycle_reving.wav,831.9685715749864,2.0,4
stim240_motorcycle_reving.wav,831.9685715749864,1.0,5
stim240_motorcycle_reving.wav,831.9685715749864,2.0,6
stim240_motorcycle_reving.wav,831.9685715749864,21.0,7
stim240_motorcycle_reving.wav,831.9685715749864,5.0,8
stim240_motorcycle_reving.wav,831.9685715749864,11.0,9
stim240_motorcycle_reving.wav,831.9685715749864,8.0,10
stim246_newspaper_rustling.wav,4054.895719035129,20.0,1
stim246_newspaper_rustling.wav,4054.895719035129,10.0,2
stim246_newspaper_rustling.wav,4054.895719035129,32.0,3
stim246_newspaper_rustling.wav,4054.895719035129,14.0,4
stim246_newspaper_rustling.wav,4054.895719035129,20.0,5
stim246_newspaper_rustling.wav,4054.895719035129,23.0,6
stim246_newspaper_rustling.wav,4054.895719035129,22.0,7
stim246_newspaper_rustling.wav,4054.895719035129,32.0,8
stim246_newspaper_rustling.wav,4054.895719035129,10.0,9
stim246_newspaper_rustling.wav,4054.895719035129,19.0,10
stim254_orchestra_music.wav,1603.3108049478467,6.0,1
stim254_orchestra_music.wav,1603.3108049478467,7.0,2
stim254_orchestra_music.wav,1603.3108049478467,2.0,3
stim254_orchestra_music.wav,1603.3108049478467,2.0,4
stim254_orchestra_music.wav,1603.3108049478467,4.0,5
stim254_orchestra_music.wav,1603.3108049478467,5.0,6
stim254_orchestra_music.wav,1603.3108049478467,7.0,7
stim254_orchestra_music.wav,1603.3108049478467,10.0,8
stim254_orchestra_music.wav,1603.3108049478467,10.0,9
stim254_orchestra_music.wav,1603.3108049478467,6.0,10
stim25_bike_bell.wav,7397.655877520471,34.0,1
stim25_bike_bell.wav,7397.655877520471,30.0,2
stim25_bike_bell.wav,7397.655877520471,38.0,3
stim25_bike_bell.wav,7397.655877520471,32.0,4
stim25_bike_bell.wav,7397.655877520471,21.0,5
stim25_bike_bell.wav,7397.655877520471,34.0,6
stim25_bike_bell.wav,7397.655877520471,36.0,7
stim25_bike_bell.wav,7397.655877520471,30.0,8
stim25_bike_bell.wav,7397.655877520471,38.0,9
stim25_bike_bell.wav,7397.655877520471,38.0,10
stim268_piano.wav,683.6190706814848,9.0,1
stim268_piano.wav,683.6190706814848,8.0,2
stim268_piano.wav,683.6190706814848,8.0,3
stim268_piano.wav,683.6190706814848,3.0,4
stim268_piano.wav,683.6190706814848,11.0,5
stim268_piano.wav,683.6190706814848,6.0,6
stim268_piano.wav,683.6190706814848,5.0,7
stim268_piano.wav,683.6190706814848,7.0,8
stim268_piano.wav,683.6190706814848,4.0,9
stim268_piano.wav,683.6190706814848,6.0,10
stim273_airplane_taking_off.wav,2094.8511676695657,14.0,1
